symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,messageBoardId,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000011.SS,SHH,,28800000,,1,finmb_INDEX000011.SS,INDEX,SSE Fund Index,000011.SS,Asia/Shanghai,CST,000011.SS,f060575f-68df-3595-89de-d3543ce5ab06
000718.SZ,SHZ,1997-04-08 02:30:00,28800000,"Suning Universal Co.,Ltd",1,EQUITY,SUNING UNIVERSAL,000718.SZ,Asia/Shanghai,CST,000718.SZ,5af89413-a7d2-3f23-8705-4336a750e049
001226.SZ,SHZ,2022-06-22 02:30:00,28800000,"Anhui Tuoshan Heavy Industry Co., Ltd.",1,EQUITY,ANHUI TUOSHAN HEAV,001226.SZ,Asia/Shanghai,CST,001226.SZ,5b9257aa-7c7b-38a5-a059-bd48e11bb06c
001230.KS,KSC,2000-01-04 00:00:00,32400000,Dongkuk Steel Mill Company Limited,1,EQUITY,DongkukStlMill,001230.KS,Asia/Seoul,KST,001230.KS,92f87640-f050-3131-bbd1-2f6cea5ad209
002646.SZ,SHZ,2011-12-22 01:30:00,28800000,"Qinghai Huzhu TianYouDe Highland Barley Spirit Co., Ltd.",1,EQUITY,QINGHAI HUZHU TIAN,002646.SZ,Asia/Shanghai,CST,002646.SZ,3c678126-ee39-34bf-84ec-551270177d0a
002795.SZ,SHZ,2016-04-28 02:30:00,28800000,"Yorhe Fluid Intelligent Control Co., Ltd.",1,finmb_263821444,EQUITY,YORHE FLUID INTELL,002795.SZ,Asia/Shanghai,CST,002795.SZ,fff2e638-4642-3a67-ba01-703c1239ace2
0061.TW,TAI,2009-08-04 02:00:00,28800000,W.I.S.E. Yuanta/P-shares CSI 300 ETF,1,ETF,YUANTA SECURITIES INV TRUST CO ,0061.TW,Asia/Taipei,CST,0061.TW,27f7de3c-b64e-3d35-9273-d7f651301ea9
00728.TW,TAI,2018-04-10 02:00:00,28800000,FSITC Taiwan Industry Elite 30 ETF,1,ETF,FSITC TAIWAN INDUSTRY ELITE 30 ,00728.TW,Asia/Taipei,CST,00728.TW,0831c092-b721-3841-a82a-a63a5d1610e8
007720.KQ,KOE,2000-02-11 00:00:00,32400000,"Daemyung Sonoseason Co.,Ltd.",1,,EQUITY,DAEMYUNG SONOSEASON,007720.KQ,Asia/Seoul,KST,007720.KQ,fe12d8ee-c3e4-3908-9793-6835696b715e
00885.TW,TAI,2021-03-30 02:00:00,28800000,Fubon FTSE Vietnam ETF,1,finmb_711166368,ETF,FUBON SECURITIES INVSTMT TRUST ,00885.TW,Asia/Taipei,CST,00885.TW,4a609798-8075-3f4d-b006-929d1bb1ec91
0186.KL,KLS,2016-10-06 02:00:00,28800000,Perak Transit Bhd,1,,EQUITY,PTRANS,0186.KL,Asia/Kuala_Lumpur,MYT,0186.KL,7a928278-5557-3cb1-aef5-f67c84918975
01YK.Z,ZRH,,3600000,STXG18XAP GR EUR,1,,INDEX,STXG18XAP GR EUR,01YK.Z,Europe/Zurich,CET,01YK.Z,00e325ac-5eab-3cae-8355-6ebd4c6e4ed7
01YM.Z,ZRH,,3600000,STXG18SD100 GR EUR,1,,INDEX,STXG18SD100 GR EUR,01YM.Z,Europe/Zurich,CET,01YM.Z,31a9b17d-17b0-3773-83a1-38f3d153f963
